Date,StationID,Location,RoadType,AvgDailyTraffic,AvgPeakHour,HeavyVehiclePct,WeatherIndex
2/29/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1243,101,3.6,44.5
3/31/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1255,99,6.1,66.3
4/30/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1286,99,5.5,57.6
5/31/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1154,93,4.4,46.7
6/30/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1158,103,7.3,47.7
7/31/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1111,91,6.5,53.7
8/31/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1135,94,5.7,45.3
9/30/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1001,80,6.7,40.8
10/31/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1230,101,4,40.8
11/30/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1210,97,3.4,34
12/31/2016,MM-ST01,Metro Manila - EDSA Segment,National Road,1258,105,6.5,49.8
1/31/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1211,96,5.8,60
2/28/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1265,105,5.2,54.4
3/31/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1209,97,7.2,62.9
4/30/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1368,115,7.5,54.8
5/31/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1124,83,7.2,58
6/30/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1090,85,4.5,43.4
7/31/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1163,104,7.3,46.9
8/31/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1169,104,4.4,34.6
9/30/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1337,124,3.8,32.2
10/31/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1240,102,2.7,39
11/30/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1217,96,6.8,43.5
12/31/2017,MM-ST01,Metro Manila - EDSA Segment,National Road,1129,95,5.5,50.6
1/31/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1144,89,4.6,50.2
2/28/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1162,99,6.8,56.3
3/31/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1310,98,6.3,59.7
4/30/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1315,110,6.5,64.4
5/31/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1293,93,6.8,60.6
6/30/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1122,90,7.9,50.5
7/31/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1058,94,4.7,52.4
8/31/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1161,82,6.4,41
9/30/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1185,97,6.6,51.1
10/31/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1171,91,4.3,48.4
11/30/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1235,109,4.1,42.8
12/31/2018,MM-ST01,Metro Manila - EDSA Segment,National Road,1264,89,3.1,46.9
1/31/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1331,97,6.2,53.8
2/28/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1312,120,2.8,64.1
3/31/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1126,88,3.3,56
4/30/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1194,95,3.4,61.6
5/31/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1213,95,6.3,56.5
6/30/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1353,112,5.4,56.6
7/31/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1125,88,6.7,40.2
8/31/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1138,90,6.7,39.6
9/30/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1138,86,7.8,36
10/31/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1219,99,3.7,47
11/30/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1155,95,7.9,55.5
12/31/2019,MM-ST01,Metro Manila - EDSA Segment,National Road,1228,105,4.6,53.4
1/31/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1122,93,2.6,59.5
2/29/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1259,103,3.5,55.3
3/31/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1352,108,4.6,66.3
4/30/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1297,113,3,54.3
5/31/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1215,89,7.4,55.1
6/30/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1277,99,4.9,46.7
7/31/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1251,97,3,43.5
8/31/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1198,91,7.2,44.1
9/30/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1213,98,4.4,46.9
10/31/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1249,98,4.5,35.7
11/30/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1125,93,2.1,41.1
12/31/2020,MM-ST01,Metro Manila - EDSA Segment,National Road,1160,86,4.9,51.2
1/31/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1270,102,2.3,54.7
2/28/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1373,120,5.4,60.2
3/31/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1234,93,2.9,56.5
4/30/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1154,89,5.7,55.9
5/31/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1316,107,2.6,49.9
6/30/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1168,89,7.2,52.3
7/31/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1136,87,2.4,42.2
8/31/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,960,74,7.4,44.6
9/30/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1133,89,6.2,43.5
10/31/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1198,91,6.1,42.5
11/30/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1088,103,2.3,51.1
12/31/2021,MM-ST01,Metro Manila - EDSA Segment,National Road,1264,95,3.6,53.7
1/31/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1157,91,5,61.7
2/28/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1209,107,4.8,54.8
3/31/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1187,95,4.9,65
4/30/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1185,95,3.2,60.3
5/31/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1119,79,4.7,54.5
6/30/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1185,99,4.8,58.9
7/31/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1155,95,7.9,41.4
8/31/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1145,91,4.9,41.5
9/30/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1178,88,6.3,41
10/31/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1035,80,5.1,40.2
11/30/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1226,98,3.7,49.1
12/31/2022,MM-ST01,Metro Manila - EDSA Segment,National Road,1258,107,7.2,58
1/31/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1216,99,4,60.5
2/28/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1293,89,3.1,53
3/31/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1248,90,6.7,56
4/30/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1392,107,3,63.5
5/31/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1315,112,6.4,50.4
6/30/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1270,91,2.5,49.5
7/31/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1071,85,2.4,39.7
8/31/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1163,91,2.5,31.2
9/30/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1211,95,5.9,31
10/31/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1239,105,7.7,37.9
11/30/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1177,101,6.8,48.3
12/31/2023,MM-ST01,Metro Manila - EDSA Segment,National Road,1367,110,3,50.7
1/31/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1267,90,4.3,56.4
2/29/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1200,102,5.3,60.8
3/31/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1204,103,4.5,59.6
4/30/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1293,98,6,64.3
5/31/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1297,98,5.7,55.7
6/30/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1253,109,3.6,50.8
7/31/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1169,88,6.4,53.2
8/31/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1252,107,7.6,39.8
9/30/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1041,85,6.8,41.3
10/31/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1118,94,6.7,42.6
11/30/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1196,96,5.3,51.8
12/31/2024,MM-ST01,Metro Manila - EDSA Segment,National Road,1277,107,7.8,55.8
1/31/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1269,90,5.1,49.5
2/28/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1166,88,4.8,54.3
3/31/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1346,102,3,60.4
4/30/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1372,105,6.6,59.3
5/31/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1375,109,6.6,64.5
6/30/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1235,102,2.9,53.3
7/31/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1355,113,3.4,45
8/31/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1216,88,4.4,44.6
9/30/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1187,96,5.3,33.1
10/31/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1170,90,3.2,43.2
11/30/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1126,85,6.9,48.1
12/31/2025,MM-ST01,Metro Manila - EDSA Segment,National Road,1185,103,5.3,39.6
1/31/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1254,98,7.1,50.4
2/28/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1236,100,7.8,57.9
3/31/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1274,96,6.3,55.2
4/30/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1091,90,3.6,58.2
5/31/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1329,103,2.8,54.8
6/30/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1086,83,4.9,42.9
7/31/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1214,93,7.5,45
8/31/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1189,100,6.2,43.8
9/30/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1164,102,4.3,47.5
10/31/2026,MM-ST01,Metro Manila - EDSA Segment,National Road,1131,94,6,33.9
